date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-06-01,-53.3,-70.9,725002350,0.0602,0
2024-06-01,-53.3,-70.8,725002350,0.5905,0
2024-06-01,-53.2,-70.9,272762000,24.0522,23.9047
2024-06-01,-53.2,-73.4,412328785,0.5252,0
2024-06-01,-53.2,-73.5,412328785,0.1758,0
2024-06-01,-53.2,-73.5,412549052,0.338,0
2024-06-01,-53.2,-73.4,412549052,0.418,0
2024-06-01,-53.2,-70.9,440203000,23.9897,0
2024-06-01,-53.2,-70.9,725000357,24.0511,0
2024-06-01,-53.2,-70.9,725001619,24.1547,24.1547
2024-06-01,-53.2,-70.9,725002350,9.5288,7.6011
2024-06-01,-53.2,-70.8,725002350,0.0852,0
2024-06-01,-53.1,-73.6,412328785,0.448,0
2024-06-01,-53.1,-73.8,412328785,0.1377,0
2024-06-01,-53.1,-73.7,412328785,0.3377,0
2024-06-01,-53.1,-73.5,412328785,0.3588,0
2024-06-01,-53.1,-73.5,412549052,0.1122,0
2024-06-01,-53.1,-73.8,412549052,0.0305,0
2024-06-01,-53.1,-73.7,412549052,0.4077,0
2024-06-01,-53.1,-73.6,412549052,0.4883,0
2024-06-01,-53.1,71.9,503526000,4.2347,3.393
2024-06-01,-53.1,72,503526000,0.4936,0
2024-06-01,-53.1,71.6,503526000,0.8502,0.3655
2024-06-01,-53.1,71.8,503526000,2.088,1.0113
2024-06-01,-53.1,71.7,503526000,1.1269,0
2024-06-01,-53.1,-70.9,725000667,23.5511,0
2024-06-01,-53,-73.9,412328785,0.4391,0
2024-06-01,-53,-73.8,412328785,0.3852,0
2024-06-01,-53,-74,412328785,0.5091,0
2024-06-01,-53,-74,412421041,3.4966,0
2024-06-01,-53,-74,412549052,0.3519,0
2024-06-01,-53,-73.9,412549052,0.4702,0
2024-06-01,-53,-73.8,412549052,0.3177,0
2024-06-01,-53,72.1,503526000,2.8319,1.9027
2024-06-01,-53,72,503526000,4.7097,3.8949
2024-06-01,-53,71.9,503526000,1.5658,1.3649
2024-06-01,-52.9,-74.2,412328785,0.588,0
2024-06-01,-52.9,-74.3,412328785,0.2519,0
2024-06-01,-52.9,-74.1,412328785,0.3716,0
2024-06-01,-52.9,-74.3,412549052,0.1283,0
2024-06-01,-52.9,-74.2,412549052,0.448,0
2024-06-01,-52.9,-74,412549052,0.0622,0
2024-06-01,-52.9,-74.1,412549052,0.4158,0
2024-06-01,-52.9,71.9,503526000,0.3488,0
2024-06-01,-52.9,72,503526000,0.1163,0
2024-06-01,-52.9,71.8,503526000,0.3769,0
2024-06-01,-52.8,-74.4,412328785,0.5697,0
2024-06-01,-52.8,-74.3,412328785,0.1316,0
2024-06-01,-52.8,-74.6,412328785,0.0394,0
2024-06-01,-52.8,-74.5,412328785,0.5238,0
2024-06-01,-52.8,-74.4,412421041,1.5913,0
2024-06-01,-52.8,-74.5,412549052,0.4491,0
2024-06-01,-52.8,-74.3,412549052,0.2911,0
2024-06-01,-52.8,-74.4,412549052,0.4111,0
2024-06-01,-52.8,71.7,503526000,0.4625,0
2024-06-01,-52.8,71.6,503526000,0.1533,0
2024-06-01,-52.8,71.8,503526000,0.0405,0
2024-06-01,-52.7,-74.6,412328785,0.3908,0
2024-06-01,-52.7,-74.7,412328785,0.5616,0
2024-06-01,-52.7,-74.8,412328785,0.3933,0
2024-06-01,-52.7,-74.7,412421041,1.4705,0
2024-06-01,-52.7,-74.9,412549052,0.558,0
2024-06-01,-52.7,-74.7,412549052,0.4177,0
2024-06-01,-52.7,-74.6,412549052,0.3902,0
2024-06-01,-52.7,-74.8,412549052,0.2566,0
2024-06-01,-52.7,71.6,503526000,0.2941,0
2024-06-01,-52.7,71.5,503526000,0.4055,0
2024-06-01,-52.6,-74.9,412328785,0.5483,0
2024-06-01,-52.6,-75,412328785,0.7161,0
2024-06-01,-52.6,-75,412421041,1.1438,0
2024-06-01,-52.6,-75.1,412549052,0.4755,0
2024-06-01,-52.6,-75,412549052,0.483,0
2024-06-01,-52.6,-75.2,412549052,0.0775,0
2024-06-01,-52.6,71.3,503526000,0.1027,0
2024-06-01,-52.6,71.5,503526000,0.0519,0
2024-06-01,-52.6,71.4,503526000,0.463,0
2024-06-01,-52.5,-75.1,412328785,0.5244,0
2024-06-01,-52.5,-75.2,412328785,0.3338,0
2024-06-01,-52.5,-75.3,412328785,0.2858,0
2024-06-01,-52.5,-68.6,412420912,0.4583,0
2024-06-01,-52.5,-68.9,412420912,0.368,0
2024-06-01,-52.5,-68.5,412420912,0.4252,0
2024-06-01,-52.5,-68.7,412420912,0.4491,0
2024-06-01,-52.5,-68.8,412420912,0.4166,0
2024-06-01,-52.5,-68.3,412420912,0.9502,0
2024-06-01,-52.5,-68.4,412420912,0.5327,0
2024-06-01,-52.5,-68.1,412421169,0.4833,0
2024-06-01,-52.5,-68.9,412421169,0.0552,0
2024-06-01,-52.5,-68.8,412421169,0.4725,0
2024-06-01,-52.5,-68.2,412421169,0.2413,0
2024-06-01,-52.5,-68.4,412421169,0.4058,0
2024-06-01,-52.5,-68.7,412421169,1.4491,0
